Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
11/25/2018,cepy,NA,NA,1.577165747,0.046617974,NA
11/25/2018,cole,NA,NA,1.577165747,0.046617974,NA
11/26/2018,cepy,NA,NA,1.345383459,0.054188718,NA
11/26/2018,cole,NA,NA,1.345383459,0.054188718,NA
11/27/2018,cepy,NA,NA,0.684153645,0.091376089,NA
11/27/2018,cole,NA,NA,0.684153645,0.091376089,NA
11/28/2018,cepy,NA,NA,1.688314007,0.083282522,NA
11/28/2018,cole,3.80256915,0.30372401,1.688314007,0.083282522,NA
11/29/2018,cepy,NA,NA,2.052190489,0.078634038,NA
11/29/2018,cole,4.72371836,0.390473087,2.052190489,0.078634038,0.098900879
11/30/2018,cepy,NA,NA,2.333118253,0.077179802,NA
11/30/2018,cole,5.066773143,0.427517193,2.333118253,0.077179802,0.115242476
12/1/2018,cepy,NA,NA,2.30501498,0.075055392,NA
12/1/2018,cole,2.772168617,0.229715367,2.30501498,0.075055392,0.053232729
12/2/2018,cepy,NA,NA,1.851627897,0.072475798,NA
12/2/2018,cole,1.786964802,0.137317032,1.851627897,0.072475798,0.020733577
12/3/2018,cepy,NA,NA,2.025594288,0.069854847,NA
12/3/2018,cole,1.440644743,0.103337844,2.025594288,0.069854847,0.025369867
12/4/2018,cepy,NA,NA,1.221129366,0.073286854,NA
12/4/2018,cole,1.437012589,0.112961248,1.221129366,0.073286854,0.003448966
12/5/2018,cepy,NA,NA,1.189169387,0.088252447,NA
12/5/2018,cole,4.176316821,0.258598676,1.189169387,0.088252447,0.028014145
12/6/2018,cepy,15.08436264,0.131295261,0.720547695,0.132855735,0.128469672
12/6/2018,cole,8.785418071,0.449616695,0.720547695,0.132855735,0.126343227
12/7/2018,cepy,24.27042265,0.192917609,1.509250081,0.154472367,0.310050247
12/7/2018,cole,17.63881063,0.885828047,1.509250081,0.154472367,0.396916173
12/8/2018,cepy,23.69227015,0.183924143,1.334819646,0.151708782,0.22585702
12/8/2018,cole,14.90141726,0.724050728,1.334819646,0.151708782,0.263758866
12/9/2018,cepy,26.39251304,0.201571926,1.074311981,0.17815974,0.241932168
12/9/2018,cole,18.78941329,0.901302392,1.074311981,0.17815974,0.29217882
12/10/2018,cepy,12.02175441,0.093803609,0.170977754,0.22678124,0.026112213
12/10/2018,cole,6.75259843,0.33465034,0.170977754,0.22678124,0.016481252
12/11/2018,cepy,25.42305467,0.249867544,1.40007166,0.260444322,0.260979896
12/11/2018,cole,21.48829592,1.080872911,1.40007166,0.260444322,0.413089285
12/12/2018,cepy,23.52587767,0.224257414,1.288720003,0.240479391,0.165701349
12/12/2018,cole,19.39686365,0.947831551,1.288720003,0.240479391,0.267778747
12/13/2018,cepy,27.04832158,0.263962429,1.498060627,0.222203844,0.233395412
12/13/2018,cole,20.18408067,0.975950049,1.498060627,0.222203844,0.318051989
12/14/2018,cepy,27.88448406,0.270642053,1.436908072,0.204080464,0.217061441
12/14/2018,cole,20.01118929,0.961532429,1.436908072,0.204080464,0.277307425
12/15/2018,cepy,28.29409457,0.276468044,1.689094387,0.185989338,0.279123857
12/15/2018,cole,19.90548772,0.945179077,1.689094387,0.185989338,0.366970797
12/16/2018,cepy,28.60746999,0.277343378,1.717348275,0.170032382,0.251077475
12/16/2018,cole,20.37360788,0.963978474,1.717348275,0.170032382,0.345167262
12/17/2018,cepy,25.35104599,0.240021868,0.89196637,0.162134393,0.12297808
12/17/2018,cole,16.5258311,0.780818419,0.89196637,0.162134393,0.12327979
